Taxa,NC8,NC49,NC7,NC64,NC88,NC36
Leiostomus xanthurus,14,0,0,0,1,0
Larimus fasciatus,0,0,56,0,0,0
Orthopristis chrysoptera,0,0,0,0,0,0
Stephanolepis,0,0,0,0,0,0
Pomatomus saltatrix,0,0,0,0,0,0
Lagodon rhomboides,0,1,0,0,0,0
Brevoortia,0,0,0,21334,9439,17660
Myrophis punctatus,4067,0,0,0,0,0
Sphyrna tiburo,0,0,0,0,0,0
Cynoscion regalis,0,0,0,0,0,0
Cynoscion nothus,0,0,1,0,0,0
Symphurus plagiusa,1,0,0,0,0,0
Carcharhinus acronotus,0,0,0,0,0,0
Etropus crossotus,1334,0,0,0,0,0
Anchoa hepsetus,0,0,0,0,0,0
Synodus foetens,0,0,0,0,0,0
Prionotus longispinosus,0,0,0,0,0,0
Oncorhynchus keta,0,0,0,0,0,0
Symphurus,0,0,0,0,0,0
Hippocampus erectus,0,0,0,0,0,0
Paralichthys lethostigma,0,0,0,0,0,0
Syngnathus louisianae,0,0,0,0,0,0
Trichiurus lepturus,0,0,0,0,0,0
Ophichthus gomesii,0,0,0,0,0,0
Callinectes sapidus,0,0,1,0,0,0
Penaeus,3248,0,0,12,0,0
Arenaeus cribrarius,0,0,0,0,0,0
Squilla empusa,0,0,0,0,0,1
Callinectes similis,0,0,0,0,0,0
Penaeus setiferus,0,0,0,0,0,0
Dyspanopeus sayi,0,0,0,0,0,0
Achelous gibbesii,0,0,0,0,0,0
Upogebia affinis,0,0,0,0,0,0
Pinnixa,0,0,0,0,0,0
Ovalipes,0,0,0,0,0,0
Lolliguncula brevis,0,0,0,0,0,0
Achelous spinimanus,0,0,0,0,0,0
Pinnotheridae,0,0,0,0,0,0